"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FTL",2964495.13054016,21.4993549962926,0.127933075536099,168.051576233905,0,0
"MT-RNR2",1171363.87891714,20.1597578815097,0.15323089353316,131.564578243139,0,0
"CTSB",930582.862849109,19.8277750938227,0.135427511667579,146.408767684457,0,0
"PSAP",912935.309523941,19.8001531090871,0.0966224118360768,204.922985597573,0,0
"CHIT1",768483.929814338,19.5516555656872,0.130158026405149,150.214751296458,0,0
"TMSB4X",565826.74202364,19.1100008372317,0.188768856371847,101.234924046941,0,0
"CTSD",557211.767184846,19.0878661994972,0.317547734277983,60.1102263976086,0,0
"MT-CO1",540778.781537478,19.0446790203409,0.162849663743573,116.946382218689,0,0
"ACTB",484015.812302719,18.8846946540815,0.161811550509503,116.707951902188,0,0
"CTSZ",463197.889762881,18.8212691551483,0.136367469377781,138.018760933427,0,0
"MT-CO2",436147.877168407,18.734457842206,0.165065284308862,113.497262132666,0,0
"MT-RNR1",425602.363024046,18.6991466354113,0.339985715250296,54.9998008641188,0,0
"SPP1",406270.601892747,18.6320814480681,0.167715018683589,111.093696881252,0,0
"GPNMB",351365.460031826,18.4226128527781,0.182540640649299,100.923349382629,0,0
"TMSB10",315690.471115001,18.2681511890547,0.299573285754167,60.9805748969411,0,0
"MT-CO3",304346.200286887,18.2153538285506,0.203404637953652,89.552303289668,0,0
"MT-ND4",292095.248597564,18.1560793650226,0.21227408178398,85.5313056235434,0,0
"ACP5",270682.480326891,18.0462419879097,0.330922632079761,54.533115110604,0,0
"SOD2",226131.16470636,17.786800308052,0.216823912232305,82.033388868084,0,0
"A2M",204603.949554342,17.6424744687257,0.0839499832434695,210.154591902174,0,0
"MMP9",203284.164436699,17.6331383099911,0.229991061244415,76.6687984071347,0,0
"MT-CYB",201138.896482474,17.6178325731669,0.165420955426709,106.503027550053,0,0
"B2M",199693.713170851,17.6074293884906,0.172190695896474,102.255405246034,0,0
"TPT1",196668.664684423,17.5854075850495,0.192729624361708,91.2439260092462,0,0
"CAPG",196123.492344305,17.5814028312758,0.149236801104624,117.808762323645,0,0
"VIM",188166.182585703,17.5216478432059,0.119681849462695,146.401880668358,0,0
"MT-ATP6",169084.851237405,17.3673878850796,0.21873575141086,79.3989449509686,0,0
"HSP90AA1",168467.347678642,17.3621094699569,0.235379455761149,73.7622126528115,0,0
"MT-ND2",167462.468493932,17.3534782709931,0.229554159879888,75.5964443426911,0,0
"CD74",164464.865432484,17.3274198889128,0.0863231236326818,200.727443119918,0,0
"ACTG1",161834.589789528,17.3041604702422,0.0908446135909521,190.480863820479,0,0
"GRN",153756.142669003,17.2302845227494,0.155981418620679,110.463699299021,0,0
"MT-ND1",152009.460589491,17.2138015896899,0.19771569523389,87.0634046999994,0,0
"CD63",149513.148296647,17.1899128361062,0.237791939632735,72.2897204281005,0,0
"LIPA",148245.629717089,17.1776300491682,0.210633161921437,81.552353354384,0,0
"HSPA8",135612.29212458,17.0491284271252,0.12548421293987,135.866720025529,0,0
"MT-ND3",134787.368018993,17.0403257710286,0.215515498214345,79.0677511001129,0,0
"ANXA2",134520.911576844,17.0374709348259,0.199118694528401,85.5643965283018,0,0
"LGMN",133695.189539467,17.0285880314731,0.176532649672811,96.4614084875192,0,0
